label,count_tp,min_score_tp,avg_score_tp,max_score_tp
a picture,366,0.1507260650396347,0.32031348412805566,0.5250915884971619
a political symbol,2,0.2189706563949585,0.24407407641410828,0.26917749643325806
a poster board,28,0.15014663338661194,0.2814739564699786,0.564432680606842
a calendar,15,0.2052745372056961,0.32786936362584435,0.4908813238143921
a framed picture,79,0.1579396277666092,0.30865909404392483,0.4429730772972107
person,21,0.16606353223323822,0.25666951423599604,0.4122990667819977
a license plate,61,0.15368884801864624,0.4415925787609132,0.6380161046981812
a paper,22,0.15661753714084625,0.2275034419514916,0.3504239320755005
a religious symbol,4,0.1618044227361679,0.28374987095594406,0.4370780885219574
a house number,23,0.15122127532958984,0.3819727865250214,0.6730562448501587
a name,2,0.16045404970645905,0.21841872483491898,0.2763833999633789
a nude image,4,0.2427063137292862,0.3260791562497616,0.3739396333694458
a cat,8,0.17708523571491241,0.4404052458703518,0.6874582171440125
a face,4,0.15739618241786957,0.20591555163264275,0.26253363490104675
